ts	phase	decision	why	evidence	result
2026-09-21T19:03:57Z	engine	Use pinned XMage as the first deterministic rules engine instead of starting a Rust port	A replacement needs a trustworthy parity oracle; the existing engine already implements the rules and card corpus	PR #65; docs/BROWSER_REWRITE.md	open: determinism gate in progress
2026-09-21T19:03:57Z	rng	Move RandomUtil.setSeed to immediately before game.start after player and card construction	Construction consumed nondeterministic identities before the old seed boundary; engine randomness must begin from a controlled point	CabtGameSession.java; commit ebfef412	substantive state matched; option ordering still diverged
2026-09-21T19:03:57Z	protocol	Assign stable CABT seats and order player-facing choices by those seats	XMage player-list iteration is cursor-based and process-local UUID ordering must not define agent action indices	CabtBridgePlayer.java; CabtSemanticOrder.java; CabtGameSessionTest.java	bridge semantics canonicalized
2026-09-21T19:03:57Z	verification	Canonicalize hidden-state player ordering in the engine fingerprint	A verifier cannot use XMage's mutable player cursor as evidence of divergence	CabtEngineFingerprint.java; commit 4c841f5	verification digest made seat-stable
2026-09-21T19:03:57Z	build	Repair literal backslash-n source corruption in semantic identity edits	Current CI failed at javac before any determinism test could run	workflow 35640503982; commits c134eda..bad2447	fixed; awaiting fresh CI
2026-09-21T19:28:00Z	actions	Persist semantic action IDs and reject semantic duplicates	Replay identity cannot depend on option array order or process-local UUIDs	CabtActionIds.java; CabtActionIdsTest.java	stable IDs added; ambiguous options fail closed
2026-09-21T19:31:00Z	privacy	Separate canonical agent state from private verification digest	A hidden-state hash is still hidden-derived information and must not enter model input	services/engine/native.py; services/engine/test_native.py	agent observe omits private digest; host verify/checkpoint retain it
2026-09-21T19:34:00Z	protocol	Canonicalize runtime UUIDs out of agent observations and results	Fresh JVM identities are not game semantics and made otherwise identical outputs unequal	services/engine/native.py	runtime IDs mapped to semantic refs or redacted
2026-09-21T19:38:00Z	verification	Require exact repeated agent observations plus combat, targeting, restore and priority branching	Subset hashes alone could hide protocol drift	services/engine/test_native.py	native gate expanded; awaiting full pinned-engine run
2026-09-21T19:43:00Z	fixtures	Register stable identities in the real-engine smoke fixture	Stricter action IDs correctly rejected duplicate unregistered Forest choices; production setup already registers deck cards	CabtRealGameSmokeTest.java; workflow 35645895261	legacy fixture aligned with production identity contract
